lab,sex,sexpref,age,behavior1,behavior2,behavior3,attitude1,attitude2,attitude3,desire1,desire2,desire3,sra
no,female,men,18,1,1,1,3,4,3,4,4,4,5
no,female,men,18,5,5,5,5,5,5,4,4,4,5
no,female,men,18,3,3,2,5,1,3,5,2,2,4
no,female,men,18,1,1,1,1,1,1,1,1,1,3
no,female,men,19,4,2,4,4,5,5,5,4,3,4
no,female,men,34,3,5,5,5,5,5,5,5,2,5
no,male,women,23,3,3,3,5,3,5,3,4,4,6
no,female,men,24,2,1,1,5,2,5,4,3,2,5
no,female,men,20,4,2,4,5,1,5,5,5,4,6
no,female,men,45,1,5,5,5,5,5,5,4,4,5
no,male,women,18,2,2,1,3,4,4,5,1,5,6
no,female,men,22,1,1,2,5,3,5,5,5,5,5
no,female,men,22,2,3,2,2,1,2,1,1,1,6
no,female,men,21,3,3,3,2,4,1,4,3,3,7
no,female,men,37,2,5,5,5,4,5,3,2,2,5
no,female,men,19,1,1,1,3,1,2,5,3,2,3
no,female,men,30,1,1,1,1,1,1,2,1,2,4
no,female,men,18,5,5,5,5,5,5,5,5,5,4
no,female,men,21,2,1,1,2,2,2,2,2,2,5
no,male,women,20,4,3,4,4,5,4,5,4,5,6
no,female,men,22,2,2,1,2,1,2,2,2,1,6
no,female,men,20,1,1,1,3,1,1,2,2,1,5
no,female,either,18,1,1,1,5,3,2,5,5,5,6
no,female,men,25,2,1,3,2,1,3,5,2,1,4
no,male,women,19,3,2,2,3,3,4,3,4,2,4
no,female,either,20,2,4,4,5,5,5,3,2,2,5
no,female,men,18,2,2,1,1,1,3,1,1,1,3
no,male,women,22,2,1,2,5,5,4,4,3,3,4
no,female,either,19,1,1,1,5,1,1,4,1,1,2
no,female,men,25,2,1,3,4,2,5,2,2,1,3
no,female,men,21,5,2,5,5,5,5,5,5,5,4
no,male,women,18,2,2,2,5,5,5,4,4,5,7
no,male,women,18,2,2,1,1,3,4,2,3,2,6
no,male,women,26,4,3,4,5,5,5,5,5,4,5
no,female,women,19,1,1,1,3,1,2,4,4,4,4
no,female,men,19,3,1,3,3,3,4,4,4,5,5
no,female,either,19,1,1,1,2,1,2,4,3,3,2
no,female,either,20,3,3,4,2,3,4,2,2,2,5
no,male,men,18,4,4,4,2,5,4,2,2,2,6
no,female,men,22,1,2,1,3,2,4,5,3,2,4
no,female,men,22,2,1,1,4,2,3,3,3,3,3
no,male,women,20,1,1,1,4,4,5,3,3,2,3
no,female,men,19,1,1,1,4,1,2,4,2,2,3
no,female,men,21,3,2,2,1,1,1,2,2,2,4
no,female,men,19,4,2,4,4,3,3,3,2,4,4
no,female,men,18,4,5,5,4,5,5,5,5,4,5
no,female,men,21,2,1,1,3,3,2,4,2,2,6
no,male,men,26,5,5,5,5,5,1,5,5,5,7
no,female,either,18,1,1,1,1,3,1,2,1,1,4
no,female,men,27,3,4,3,3,3,2,2,4,4,2
no,female,men,19,3,3,2,1,1,3,2,2,2,5
no,female,men,18,2,1,1,1,1,1,1,1,1,4
no,female,men,22,5,5,5,3,2,3,3,3,4,2
no,male,women,22,4,4,4,3,4,4,5,2,3,5
no,female,men,19,2,1,1,3,1,1,1,2,1,7
no,male,men,20,2,4,3,4,2,3,5,5,5,4
no,female,men,19,3,2,3,3,2,2,2,2,1,5
no,female,men,19,3,4,3,3,3,2,4,3,4,2
no,female,men,21,1,1,1,2,1,2,5,3,2,6
no,female,either,19,3,3,4,5,4,4,5,4,5,5
no,female,either,20,2,2,2,3,2,4,3,3,2,3
no,female,men,21,3,3,5,3,3,4,3,2,2,5
no,female,men,30,3,3,3,4,4,5,5,3,2,5
no,male,women,18,3,1,1,3,2,4,5,3,5,5
no,male,women,18,2,1,1,4,4,4,2,4,2,6
no,female,men,20,3,2,4,4,3,4,5,3,2,6
no,female,men,35,3,3,5,2,3,2,4,2,2,6
no,female,men,23,4,5,5,5,2,5,5,4,5,6
no,male,men,20,2,3,3,2,1,2,2,2,5,6
no,male,women,21,2,2,2,5,5,5,5,4,4,5
no,female,men,40,1,3,3,3,2,2,2,2,2,2
no,female,men,18,1,1,1,3,2,3,5,1,2,5
no,female,men,20,2,1,1,3,3,2,5,4,2,6
no,male,women,21,1,1,1,3,2,3,4,4,4,5
no,female,men,18,2,1,1,3,2,3,2,1,1,6
no,male,women,18,4,3,4,4,5,5,5,3,4,6
no,female,men,26,3,2,4,4,5,4,3,2,2,4
no,female,men,21,2,1,1,4,3,4,3,2,1,3
no,female,either,19,2,2,2,1,1,1,1,1,2,4
no,female,men,23,2,2,3,2,1,1,1,1,1,4
no,female,men,19,1,1,1,1,1,3,5,4,2,6
no,female,men,20,2,1,1,5,5,5,4,4,4,6
no,female,either,21,1,1,1,3,3,4,2,2,2,6
no,female,men,19,1,1,1,2,5,5,5,3,5,4
no,female,men,24,3,2,3,4,1,1,2,1,1,6
no,female,men,18,2,3,3,4,3,3,4,4,3,4
no,male,women,35,2,2,1,1,1,1,1,3,2,5
no,female,men,19,1,1,1,2,1,3,2,1,1,6
no,female,men,20,1,1,1,2,4,2,3,3,2,4
no,female,men,24,4,3,4,5,5,5,4,3,1,5
no,female,men,18,1,1,1,4,5,5,5,1,3,2
no,female,men,21,1,1,1,2,1,1,4,2,4,2
no,female,women,24,2,3,3,2,1,2,1,2,1,4
no,male,women,44,2,3,2,5,5,5,5,3,5,4
no,male,men,25,2,4,1,3,1,1,4,4,4,2
no,female,men,20,3,2,2,3,2,3,4,2,2,5
no,male,men,21,2,4,2,3,2,5,5,4,1,3
no,male,women,22,2,1,1,2,3,4,4,3,3,4
no,female,either,18,3,4,5,3,3,2,3,3,2,5
no,female,men,22,4,3,3,3,3,3,5,5,5,6
no,male,men,20,2,2,1,3,3,4,3,3,2,6
no,female,men,19,4,5,4,4,5,5,4,4,4,4
no,female,men,18,4,3,5,1,3,2,4,5,4,5
no,male,women,30,3,4,3,5,3,5,5,2,2,5
no,female,men,18,3,2,2,3,2,3,3,4,2,4
no,female,either,20,4,3,3,4,2,3,3,3,2,6
no,female,men,18,3,2,2,4,2,3,2,2,2,4
no,female,men,19,4,4,4,4,2,3,4,4,4,5
no,female,men,18,2,1,1,1,2,3,1,2,3,4
no,male,women,21,3,2,3,4,5,4,5,4,4,4
no,male,women,21,3,2,3,3,5,5,5,2,5,6
no,female,men,19,1,1,1,4,2,2,5,4,4,5
no,female,men,21,3,2,1,1,1,1,3,3,1,6
no,female,women,19,2,2,2,3,4,4,4,5,3,2
no,female,men,21,1,1,1,3,3,2,5,4,4,4
no,female,men,18,2,2,2,1,1,4,1,1,1,5
no,female,men,21,3,2,3,5,5,4,4,3,4,4
no,female,either,25,4,5,5,5,5,5,5,5,5,5
no,male,women,22,2,2,2,5,3,4,2,2,1,4
no,female,men,18,1,1,1,1,1,1,2,1,1,4
no,female,men,20,3,5,3,3,4,4,2,3,3,6
no,female,men,18,3,3,5,3,3,2,3,3,3,6
no,male,women,39,2,2,5,5,5,5,5,4,4,4
no,male,,35,2,3,4,5,4,2,4,3,4,4
no,male,women,39,1,3,5,5,5,5,5,2,2,4
no,female,men,25,1,1,1,1,1,2,4,1,1,3
no,female,men,18,2,1,1,2,1,2,5,4,2,5
no,female,men,18,2,1,1,2,3,2,3,3,2,4
no,male,women,24,2,1,1,3,2,3,5,2,5,6
no,female,men,29,1,1,1,1,1,1,4,2,2,4
no,female,men,19,2,1,1,2,3,3,2,3,1,2
no,female,men,19,1,1,1,4,5,3,3,4,2,3
no,female,men,22,2,2,2,1,1,1,3,3,3,6
no,male,women,22,1,1,1,3,3,3,4,4,2,4
no,female,men,19,1,1,1,1,1,1,2,2,2,5
no,female,women,19,2,2,2,3,3,1,4,2,4,4
no,female,men,24,1,1,1,1,5,2,3,2,1,5
no,female,men,26,5,4,3,4,3,4,2,4,4,6
no,female,either,21,4,3,3,4,4,5,5,2,2,5
no,female,men,55,2,2,2,1,1,1,1,2,2,3
no,female,men,18,1,1,1,1,1,1,4,2,2,5
no,female,men,27,2,3,3,3,3,4,3,3,2,4
no,female,men,18,2,2,1,5,2,1,4,4,5,5
no,female,men,21,2,3,3,3,2,3,2,2,2,2
no,female,men,20,2,1,1,1,1,1,2,2,2,2
no,female,men,18,3,2,3,4,5,3,2,3,3,4
no,female,men,18,2,1,2,1,1,3,2,2,1,6
no,female,men,18,5,2,4,5,4,5,5,4,5,6
no,female,either,21,2,1,1,5,5,4,5,2,2,2
no,female,men,26,2,2,4,3,2,4,3,5,3,6
no,female,men,19,2,2,1,3,2,3,2,2,2,3
no,male,women,29,1,3,3,4,3,4,5,2,2,4
no,female,men,26,1,2,2,2,1,2,3,2,3,5
no,female,men,22,3,2,2,2,4,2,5,2,4,1
no,female,men,19,2,2,1,5,5,1,2,1,1,4
no,male,women,19,1,1,1,4,5,4,4,4,3,5
no,male,men,18,4,3,4,4,5,5,5,5,4,6
no,female,men,18,4,3,3,1,1,1,1,1,1,6
no,female,men,20,3,1,3,5,4,5,2,1,2,2
no,male,women,18,1,1,1,1,1,1,3,3,1,6
no,female,men,20,1,1,1,5,3,2,1,5,1,4
no,female,men,18,2,1,1,5,1,5,1,2,2,7
no,female,men,21,2,2,2,2,2,3,3,3,2,4
no,female,men,18,2,1,1,1,1,2,4,4,4,6
no,female,either,21,3,3,5,4,3,4,2,2,1,4
no,female,men,18,2,2,2,3,1,3,1,1,2,3
no,female,either,21,2,3,3,4,3,5,4,4,5,5
no,female,men,23,3,2,2,3,3,3,4,2,2,3
no,female,women,18,2,2,2,3,5,3,4,4,3,5
no,male,women,19,3,2,3,5,5,5,5,4,5,5
no,male,women,23,2,3,4,5,3,4,5,5,5,4
no,male,women,27,2,4,4,5,5,5,5,1,5,7
no,female,men,21,4,2,5,4,4,4,5,4,4,5
no,female,men,19,2,2,1,3,1,2,3,2,2,5
no,female,men,24,2,4,4,4,3,4,5,3,2,5
no,female,men,20,2,2,2,2,3,2,2,2,1,5
no,female,men,18,2,2,2,5,5,4,5,5,4,6
no,female,men,18,1,1,1,1,1,1,2,1,1,6
no,female,men,20,2,2,3,1,1,4,5,3,5,4
no,female,men,26,3,2,3,5,4,4,5,4,4,6
no,female,men,20,2,1,1,2,1,2,2,1,1,3
no,male,women,22,4,3,3,5,3,4,4,5,3,4
no,female,men,21,2,2,2,3,2,3,4,3,4,2
no,female,either,21,2,2,1,3,1,1,2,1,1,4
no,female,men,23,1,2,1,3,3,4,5,4,3,5
no,female,men,19,2,2,2,1,1,1,2,2,1,6
no,female,men,18,1,1,1,1,1,1,3,3,3,6
no,female,men,22,2,1,1,2,1,1,2,1,2,3
no,female,men,18,2,1,1,2,1,1,2,2,2,5
no,male,women,18,3,3,3,3,3,4,5,5,5,5
no,female,men,24,2,3,4,5,3,3,2,2,1,5
no,female,men,19,3,1,3,4,5,5,5,4,1,6
no,female,women,19,3,2,2,4,2,4,2,3,2,4
no,female,men,22,2,2,3,3,4,3,4,2,1,5
no,female,men,22,2,1,1,1,1,1,1,1,1,5
no,female,either,19,1,1,1,2,3,2,4,3,3,4
no,male,men,39,2,3,3,4,2,3,5,3,5,4
no,female,men,21,1,1,1,1,1,1,4,2,1,2
no,male,women,19,3,1,2,5,5,5,5,4,4,5
no,male,women,19,1,1,1,2,2,1,3,2,2,5
no,female,men,19,2,2,2,4,4,3,4,4,3,5
no,female,men,18,2,2,5,3,4,4,4,3,3,6
no,female,men,18,3,2,3,3,4,3,3,3,2,5
no,female,men,19,1,1,1,1,1,2,2,2,2,2
no,female,men,19,1,1,1,2,1,1,4,4,4,4
no,female,men,19,1,1,1,3,2,3,5,5,4,2
no,male,men,20,4,3,3,3,2,3,4,3,5,4
no,female,men,20,4,2,3,5,4,5,5,4,4,6
no,female,men,19,2,1,1,2,2,2,5,3,5,5
no,female,men,23,2,2,3,5,2,4,2,2,2,2
no,female,men,18,1,1,1,3,1,2,4,1,1,6
no,female,men,21,1,1,1,1,1,1,2,2,1,4
no,female,men,23,1,1,1,2,1,1,5,2,2,3
no,female,men,24,1,1,1,3,1,1,1,1,1,4
no,female,men,32,2,3,5,3,2,3,2,2,2,5
no,female,men,22,2,2,2,2,1,2,3,2,1,5
no,female,men,22,1,1,1,3,3,2,2,1,3,5
no,female,men,25,1,2,1,4,2,1,4,2,2,3
no,female,men,21,3,2,2,4,3,4,3,4,2,6
no,male,women,27,2,3,3,2,3,4,5,4,4,3
no,female,men,18,4,2,3,2,3,1,4,3,3,6
no,female,men,19,2,1,2,3,2,3,4,2,1,4
no,female,men,20,1,1,1,5,4,3,5,4,5,2
no,male,men,24,2,1,1,3,1,2,2,2,4,4
no,female,men,18,2,2,1,5,1,1,2,1,1,4
no,female,either,24,2,3,4,4,5,5,4,3,2,6
no,female,men,24,2,2,3,3,2,4,2,3,3,5
no,female,men,18,2,1,1,3,1,4,3,1,2,3
no,female,men,18,3,1,2,2,2,2,4,3,2,5
no,female,men,26,2,3,4,4,4,4,5,5,4,5
no,male,men,29,3,5,5,3,5,5,4,3,4,7
no,female,men,18,3,2,2,4,3,4,5,4,3,5
no,male,men,18,1,1,1,3,3,4,3,3,5,5
no,female,men,24,2,2,2,1,1,1,2,1,2,4
no,female,men,19,2,2,1,1,1,5,5,2,3,6
no,female,men,20,3,2,2,4,2,4,1,2,1,5
no,female,men,21,3,2,5,5,5,3,5,5,5,4
no,female,men,20,1,1,1,3,2,2,5,5,4,5
no,female,men,20,2,1,1,2,1,3,5,4,1,5
no,female,either,41,2,2,2,3,2,3,4,2,2,3
no,male,women,22,2,3,2,4,2,2,2,2,2,6
no,male,women,20,1,1,1,2,2,4,2,3,2,6
no,male,men,37,5,5,5,5,5,5,5,4,4,4
no,male,women,26,2,1,1,5,5,5,5,2,4,6
no,female,either,34,2,1,1,5,2,2,2,2,2,3
no,female,men,19,3,2,2,2,2,1,4,3,2,5
no,male,women,22,5,3,4,4,3,5,5,5,4,6
no,female,either,20,3,2,1,2,2,4,4,4,4,5
no,female,men,20,4,4,4,4,4,5,2,5,4,5
no,female,men,22,3,2,3,3,2,3,3,3,4,3
no,male,men,20,1,1,1,1,2,1,5,5,2,5
no,female,men,19,1,1,1,4,3,3,3,2,2,3
no,female,men,24,2,2,3,3,2,1,4,1,2,5
no,female,men,18,2,1,2,3,2,3,2,2,2,4
no,female,men,20,3,2,4,2,2,4,5,4,3,6
no,female,men,18,3,3,2,4,4,3,4,4,4,6
no,female,men,23,4,4,3,3,2,3,2,2,1,4
no,male,women,25,2,5,4,5,5,5,5,4,4,5
no,female,women,27,5,5,5,5,5,5,5,5,5,6
no,female,men,23,2,1,2,2,1,2,2,1,2,5
no,male,men,18,1,1,1,3,1,1,5,1,5,3
no,female,men,34,1,3,3,1,1,1,1,2,2,6
no,male,women,20,4,5,5,5,5,5,5,4,4,6
no,male,women,34,2,1,1,3,1,2,5,4,4,5
no,female,men,18,2,1,1,2,1,1,2,1,1,5
no,male,women,21,2,1,1,3,4,4,5,4,4,4
no,female,either,18,3,2,3,5,3,3,4,4,3,5
no,female,either,24,1,2,2,5,4,4,5,5,5,5
no,male,women,19,1,1,1,1,1,1,2,3,2,2
no,male,women,29,2,3,3,5,5,3,5,3,3,3
no,female,either,23,1,1,3,4,1,1,1,1,1,4
no,female,either,18,3,2,2,5,5,5,5,4,5,5
no,female,men,25,2,1,1,3,3,3,5,4,3,5
no,male,women,20,5,5,5,5,5,5,5,4,4,7
no,female,men,23,2,2,3,3,2,2,3,2,2,2
no,male,women,18,3,2,3,5,5,5,5,5,5,6
no,male,women,31,3,5,5,4,2,4,5,4,4,4
no,female,men,43,2,4,5,1,3,1,4,2,2,7
no,female,men,19,1,1,1,3,3,2,3,5,3,5
no,female,men,20,3,1,4,5,5,4,3,4,3,5
no,female,men,18,1,1,1,4,3,4,3,2,2,5
no,female,men,18,1,1,1,1,1,3,5,1,1,4
no,male,women,52,2,2,5,5,5,5,5,5,4,6
no,female,men,31,2,4,4,3,3,3,4,3,3,3
no,female,women,19,3,1,2,2,3,2,4,2,1,4
no,male,women,18,2,2,2,4,4,5,5,5,4,7
no,female,men,23,2,4,5,3,4,1,2,2,1,3
no,female,men,18,2,1,2,3,2,3,4,5,3,5
no,male,women,24,4,4,5,5,2,5,5,5,3,5
no,female,men,34,4,3,5,5,4,5,5,3,3,6
no,female,men,20,1,3,3,5,3,5,2,1,2,4
no,female,men,32,2,2,4,5,4,5,3,3,2,5
no,male,men,21,2,1,1,5,4,1,4,4,4,6
no,male,either,24,2,4,4,5,5,5,5,4,4,6
no,female,men,18,1,1,1,2,2,2,4,3,2,5
no,female,men,18,1,1,1,1,1,1,1,1,1,5
no,female,men,20,2,2,1,1,4,1,2,1,1,5
no,female,men,23,3,2,5,5,5,5,5,4,4,4
no,female,men,22,2,1,1,4,3,4,2,2,1,5
no,female,men,19,1,1,1,1,1,1,2,2,1,4
no,female,men,21,3,2,2,3,2,4,3,2,2,4
no,female,men,20,2,1,1,3,2,3,2,3,2,4
no,female,men,19,3,2,2,2,2,3,4,4,5,5
no,female,men,18,4,4,4,3,4,3,3,4,4,6
no,male,women,18,2,1,2,2,3,5,5,4,4,6
no,male,men,21,4,4,4,4,2,1,5,4,4,4
no,female,men,21,2,2,1,2,1,2,2,4,1,5
no,female,men,27,2,2,1,2,1,1,2,2,2,4
no,female,men,19,1,1,1,4,4,4,4,3,3,5
no,female,men,22,3,1,1,3,3,4,5,3,2,3
no,male,women,21,1,2,1,4,3,4,5,4,2,2
no,female,men,18,2,1,1,1,1,3,5,4,5,6
no,female,men,22,1,1,1,2,1,4,1,1,1,4
no,female,either,18,1,1,1,4,2,3,4,2,4,5
no,female,either,18,3,1,3,4,2,4,5,3,2,4
no,male,women,55,2,5,5,5,5,3,5,4,5,6
no,male,women,22,2,1,1,4,4,4,5,5,5,6
no,male,women,19,2,1,1,4,4,4,5,3,4,6
no,male,women,20,2,3,3,5,4,4,3,2,2,6
no,female,men,21,4,4,3,3,2,3,4,4,4,3
no,male,either,20,1,1,1,5,4,4,5,4,2,5
no,female,men,19,2,1,2,5,2,2,3,4,2,6
no,female,men,21,1,1,1,1,1,1,1,1,1,5
no,female,either,42,1,1,3,4,4,5,5,5,5,2
no,male,women,22,2,1,1,3,5,4,1,3,3,4
no,male,women,25,2,3,3,2,3,5,5,5,5,5
no,female,men,18,2,1,1,2,2,2,4,2,2,4
no,female,men,21,3,2,2,1,1,2,1,2,1,5
no,female,men,21,1,1,1,1,1,1,3,1,1,4
no,female,men,20,3,2,3,3,2,4,1,2,2,5
no,female,either,18,4,3,3,5,5,5,4,3,3,4
no,female,men,21,2,1,1,5,2,2,4,3,2,4
no,female,men,21,1,1,1,3,1,1,1,3,2,7
no,female,men,19,4,1,4,4,2,4,3,3,2,6
no,male,either,23,4,2,4,4,3,4,5,4,2,5
no,male,women,22,1,1,1,3,3,2,2,2,1,3
no,female,women,19,1,1,1,4,1,2,5,1,1,1
no,female,men,23,2,4,5,5,4,5,5,2,4,7
no,female,men,22,3,1,2,4,3,4,3,4,2,5
no,female,men,47,2,2,3,1,1,1,5,1,2,7
no,female,men,26,1,1,2,3,3,4,4,2,3,7
no,female,women,21,1,2,2,1,2,4,4,5,3,4
no,female,men,42,2,3,3,5,3,4,3,3,2,3
no,female,either,21,1,1,1,3,2,1,5,5,4,3
no,female,men,26,4,3,4,3,3,5,3,5,3,6
no,female,either,18,2,2,2,3,2,2,5,4,2,5
no,female,men,21,4,5,5,5,2,4,3,5,3,6
no,female,men,19,3,2,4,2,3,4,2,4,1,6
no,female,either,19,1,2,2,5,3,5,5,5,3,5
no,female,men,21,1,1,1,1,1,1,2,2,1,4
no,female,men,19,3,1,2,3,2,4,2,2,2,6
no,female,men,43,3,3,2,3,1,2,2,2,2,5
no,male,women,21,1,1,1,1,2,1,5,4,3,5
no,female,men,25,1,1,1,3,3,5,5,4,4,5
no,male,women,20,2,1,1,4,4,4,4,4,2,3
no,male,women,21,2,2,2,4,4,4,5,2,5,4
no,female,men,20,3,3,3,5,5,5,4,4,4,4
no,male,men,48,1,4,4,2,1,3,2,3,2,5
no,female,men,20,1,2,3,5,5,5,3,4,2,4
no,male,men,19,1,1,1,1,1,1,3,4,4,1
no,female,men,20,2,1,1,3,3,3,4,2,2,4
no,female,men,26,1,2,2,2,1,1,4,3,4,6
no,female,men,18,3,2,2,2,2,2,3,3,2,5
yes,female,either,19,3,2,2,3,4,4,4,5,4,5
yes,female,men,19,2,2,1,2,1,1,1,1,1,5
no,female,men,28,1,1,3,3,3,2,2,2,2,7
yes,female,men,21,2,1,3,1,1,1,1,1,1,7
yes,female,men,20,3,4,3,2,1,3,2,3,1,4
yes,female,men,19,4,4,3,5,4,4,4,4,2,4
yes,female,men,20,2,1,1,2,1,1,1,1,1,6
no,female,men,18,3,2,3,3,3,3,4,4,3,5
no,female,men,20,2,1,2,4,4,4,2,2,1,6
no,male,women,18,1,1,1,5,5,3,4,4,4,4
no,female,men,18,1,1,1,2,1,1,4,4,2,4
no,female,men,24,2,3,3,4,5,4,2,2,1,4
no,female,men,19,3,1,1,3,1,3,2,2,2,7
no,male,women,18,2,1,2,3,2,2,4,4,4,1
no,female,either,18,3,3,3,5,3,3,4,3,4,6
no,female,men,19,3,2,3,1,5,1,2,2,2,4
no,male,men,22,2,5,5,2,1,2,2,1,2,4
no,male,women,23,3,1,3,4,5,5,5,4,4,6
no,female,men,22,2,1,1,1,1,1,2,1,1,6
yes,female,men,18,1,1,1,3,1,2,3,2,3,5
yes,female,men,18,2,1,2,1,1,4,1,1,1,2
yes,female,men,20,2,1,3,3,2,4,3,1,1,4
yes,female,men,20,1,1,1,2,2,2,2,2,2,6
yes,female,men,19,3,1,3,5,3,4,3,2,1,3
yes,female,men,19,2,2,3,5,3,3,4,3,2,4
yes,female,men,18,3,2,2,5,3,4,3,3,2,4
no,female,men,19,4,5,5,3,2,1,3,2,3,6
no,female,men,18,2,2,1,3,4,2,2,2,1,5
no,female,men,19,4,3,3,4,1,3,1,2,2,5
no,female,men,18,2,2,2,3,1,4,3,4,2,5
no,male,women,24,1,1,1,2,2,3,2,2,2,5
yes,female,men,19,1,1,1,1,1,1,1,2,1,3
yes,female,men,19,2,3,3,5,1,5,3,3,1,4
yes,female,men,20,1,1,1,4,4,3,2,2,1,2
yes,female,men,19,2,2,3,5,3,4,4,4,3,5
yes,male,women,19,3,2,3,1,5,5,3,4,3,6
yes,male,women,19,2,2,1,5,3,5,3,4,2,4
yes,female,men,19,2,1,1,3,1,2,2,3,1,5
yes,female,men,21,2,2,2,2,3,5,1,1,1,5
yes,female,men,20,1,3,2,1,1,3,5,2,4,5
yes,male,women,20,4,3,4,4,4,3,2,1,1,6
yes,female,men,18,2,1,1,1,1,1,2,2,2,4
no,female,men,21,3,4,3,5,3,5,3,2,5,4
no,male,men,20,1,1,1,2,3,3,4,4,4,5
no,female,men,22,2,3,2,3,2,5,3,3,2,5
no,male,women,19,1,1,1,1,2,2,3,4,3,5
no,female,men,21,2,3,4,3,3,4,2,2,3,5
no,female,women,23,1,1,1,1,1,1,2,2,2,3
no,male,women,29,2,2,4,5,3,4,5,2,5,5
yes,female,men,19,2,1,1,1,1,1,2,2,2,4
yes,female,men,20,1,3,3,4,3,4,4,4,3,4
no,female,men,20,3,4,4,4,4,3,5,4,2,6
no,female,men,22,4,2,3,3,3,3,5,3,4,5
no,female,men,39,2,3,3,3,4,4,2,2,1,3
no,female,men,20,4,3,3,3,2,2,3,3,3,6
no,female,men,47,2,2,2,2,1,2,2,2,2,5
no,female,either,23,4,3,3,4,5,5,4,4,4,4
no,female,men,20,1,1,1,1,1,1,2,2,1,5
no,female,either,23,2,1,1,3,2,2,2,3,3,5
no,female,men,20,1,1,1,3,3,2,2,2,2,5
no,male,women,25,2,2,1,4,2,3,5,5,3,3
no,male,women,21,2,2,1,4,3,4,2,2,2,5
no,female,men,20,1,1,1,3,1,1,5,3,2,6
no,female,men,26,2,2,1,1,1,1,1,1,1,5
no,female,men,27,2,2,2,3,4,4,5,5,4,6
no,female,either,20,1,1,1,4,4,4,5,5,5,6
no,male,women,20,1,1,1,4,5,1,4,2,1,5
no,female,either,21,1,1,1,1,1,1,4,4,3,1
no,male,women,20,1,1,1,1,2,1,1,1,1,6
no,male,either,18,2,2,2,3,3,5,5,5,5,5
no,male,women,42,2,3,3,5,3,4,4,2,3,4
no,female,men,18,1,2,2,4,5,3,5,3,4,5
no,male,men,24,2,3,3,4,1,4,2,3,3,6
no,female,either,22,4,5,5,5,5,4,1,4,1,4
no,female,men,18,1,1,1,2,3,1,4,5,4,2
no,male,either,27,2,2,2,5,1,4,5,5,4,6
no,female,men,24,3,3,1,1,1,1,1,1,1,3
yes,female,men,21,2,1,1,5,2,4,2,2,1,4
yes,female,men,37,1,4,3,5,4,5,3,2,3,4
no,female,men,27,5,5,5,5,5,5,5,5,5,7
no,female,either,21,2,3,4,5,5,3,3,3,3,4
no,female,men,19,1,1,1,1,1,1,5,2,2,2
no,female,men,18,3,2,2,5,3,5,5,4,4,4
yes,female,men,20,2,1,1,2,1,2,1,1,1,4
yes,female,men,21,2,2,3,5,4,5,5,4,3,6
yes,female,men,20,1,1,1,2,5,1,3,2,3,5
no,male,women,27,2,1,1,5,2,2,2,1,1,2
no,female,men,19,2,1,1,5,2,1,3,3,2,3
no,male,women,22,1,1,1,1,3,4,4,4,2,5
no,female,men,22,3,2,3,4,3,5,2,3,2,7
no,female,men,18,1,1,1,2,1,1,2,2,1,4
no,female,men,20,2,2,1,1,3,3,1,1,5,3
no,female,men,19,1,1,1,2,1,1,4,3,4,5
no,female,either,18,2,2,1,3,1,1,4,2,1,5
yes,female,men,18,2,1,1,3,2,3,1,1,1,3
yes,male,women,20,4,3,2,5,5,5,5,4,5,3
no,female,men,27,2,2,1,2,1,2,2,2,2,4
yes,female,men,21,2,2,2,5,2,5,3,1,1,3
yes,female,men,18,2,2,3,3,3,3,2,1,2,4
yes,female,men,18,3,2,2,5,5,5,5,4,5,4
yes,female,men,18,1,1,1,2,1,4,2,2,2,2
no,female,men,18,2,1,1,1,1,1,3,2,1,3
no,female,men,26,3,4,4,3,2,2,2,2,1,4
no,female,either,20,1,1,1,3,1,3,2,1,2,3
no,female,men,18,1,1,1,2,1,1,3,2,3,5
yes,female,men,20,2,1,1,3,2,3,2,1,1,4
yes,female,men,20,3,4,4,3,4,5,1,2,1,4
yes,male,women,19,3,2,2,4,5,4,4,4,4,4
yes,female,men,21,2,1,1,2,2,4,3,2,2,5
no,female,either,21,2,1,1,4,4,4,3,2,3,2
no,female,women,32,2,1,2,3,2,2,5,2,2,5
no,male,women,20,1,2,2,5,5,4,5,4,5,4
no,male,women,19,1,1,1,2,1,2,5,1,4,4
no,female,men,20,4,4,4,5,4,5,4,3,2,5
no,female,either,18,2,2,1,4,2,5,5,3,1,4
no,male,women,35,2,5,5,4,4,5,3,2,3,5
no,female,men,19,2,1,1,1,1,1,2,2,1,5
no,female,men,19,1,1,1,1,1,1,2,2,2,5
no,male,women,24,2,2,4,5,5,5,4,4,5,6
no,female,women,18,1,1,1,1,1,1,5,2,2,6
no,female,either,19,1,1,1,2,2,2,4,5,3,6
no,female,men,24,1,1,1,2,1,1,3,2,2,3
no,female,men,20,1,1,1,3,2,2,1,1,1,2
no,male,either,21,1,4,4,4,3,4,4,4,1,4
no,female,,21,2,2,1,2,1,4,4,2,2,4
no,female,men,20,2,2,2,3,1,2,4,3,3,6
no,female,men,21,2,1,1,2,2,3,2,1,1,5
no,female,men,18,2,1,2,3,3,4,3,2,2,6
no,female,men,18,2,1,1,3,1,2,3,4,3,5
no,female,women,24,2,5,5,5,4,4,4,3,3,4
no,male,women,32,1,2,2,3,1,2,3,2,2,4
no,female,men,21,2,2,2,2,1,1,2,2,1,4
yes,female,men,20,4,5,5,5,4,5,5,4,4,3
